Key,ptBR
Achievement_Xbox_Completed_01,Fez 25 escolhas de diálogo em Missões
Achievement_Xbox_Completed_02,Matou 10 chefões de Missões
Achievement_Xbox_Completed_03,Completou 10 Missões
Achievement_Xbox_Completed_04,Completou 30 Missões
Achievement_Xbox_Completed_05,Completou 60 Missões
Achievement_Xbox_Completed_06,Completou 100 Missões
Achievement_Xbox_Completed_07,Coletou todos os Fragmentos de uma Receita de Tema
Achievement_Xbox_Completed_08,Coletou todos os Fragmentos de 4 Receitas de Temas
Achievement_Xbox_Completed_09,Fabricou todos os Temas
Achievement_Xbox_Completed_10,Matou 500 inimigos em Missões
Achievement_Xbox_Completed_11,Coletou 100 Stimpaks e 100 RadAway em Missões
Achievement_Xbox_Completed_12,Desmontou 500 itens
Achievement_Xbox_Completed_13,Fabricou 10 Armas
Achievement_Xbox_Completed_14,Fabricou 10 Trajes
Achievement_Xbox_Completed_15,"Fabricou um Traje, uma Arma e um Tema"
Achievement_Xbox_Completed_16,Alterou a aparência de 10 Dwellers na Barbearia
Achievement_Xbox_Description_01,Faça 25 escolhas de diálogo em Missões
Achievement_Xbox_Description_02,Mate 10 chefões de Missões
Achievement_Xbox_Description_03,Complete 10 Missões
Achievement_Xbox_Description_04,Complete 30 Missões
Achievement_Xbox_Description_05,Complete 60 Missões
Achievement_Xbox_Description_06,Complete 100 Missões
Achievement_Xbox_Description_07,Colete todos os Fragmentos de uma Receita de Tema
Achievement_Xbox_Description_08,Colete todos os Fragmentos de 4 Receitas de Temas
Achievement_Xbox_Description_09,Fabrique todos os Temas
Achievement_Xbox_Description_10,Mate 500 inimigos em Missões
Achievement_Xbox_Description_11,Colete 100 Stimpaks e 100 RadAway em Missões
Achievement_Xbox_Description_12,Desmonte 500 itens
Achievement_Xbox_Description_13,Fabrique 10 Armas
Achievement_Xbox_Description_14,Fabrique 10 Trajes
Achievement_Xbox_Description_15,"Fabrique um Traje, uma Arma e um Tema"
Achievement_Xbox_Description_16,Altere a aparência de 10 Dwellers na Barbearia
Achievement_Xbox_Name_01,Lábia de Ouro
Achievement_Xbox_Name_02,Você Está Demitido!
Achievement_Xbox_Name_03,Andarilho do Wasteland
Achievement_Xbox_Name_04,Ranger Urbano
Achievement_Xbox_Name_05,Sobrevivencialista
Achievement_Xbox_Name_06,Lenda do Wasteland
Achievement_Xbox_Name_07,Tinta e Suor
Achievement_Xbox_Name_08,Decorador
Achievement_Xbox_Name_09,Designer de Interiores
Achievement_Xbox_Name_10,Inimigo do Wasteland
Achievement_Xbox_Name_11,Grande Farmácia
Achievement_Xbox_Name_12,Reciclador Nato
Achievement_Xbox_Name_13,Armeiro
Achievement_Xbox_Name_14,Fashionista
Achievement_Xbox_Name_15,Mais do que Útil
Achievement_Xbox_Name_16,Só as Pontas
ActivateRewards,ATIVAR RECOMPENSAS
AlreadyExists_VaultName,O nome do Vault já existe.
Android_Ask_Notification_Message,Você quer que o Fallout Shelter envie notificações para você?
Android_Ask_Notification_No,Não
Android_Ask_Notification_Title,Notificações
Android_Ask_Notification_Yes,Sim
Android_PushNotification_Summary,Algo aconteceu no seu Vault!
AndroidShareViaKey,Compartilhar via
Armory_Upgrade_Info,Aumenta a velocidade de treinamento de Percepção
Attention,ATENÇÃO
Baby_NewBabyArrived,Dê um nome ao novo bebê!
Baby_ProudParents,Os pais orgulhosos
Baby_Triplets,TRIGÊMEOS
Baby_Twins,GÊMEOS
Bar_Upgrade_Info,Aumenta a velocidade de treinamento de Carisma
BarberShop_CancelCustomization_Message,Os Caps que você gastou não serão reembolsados. Tem certeza?
BarberShop_FacialFeature,CARACTERÍSTICA FACIAL
BarberShop_HairColor,COR DO CABELO
BarberShop_HairStyle,PENTEADO
BarberShop_Interface_Title,PERSONALIZAR
BarberShop_Total_Cost,CUSTO
BarberShop_Total_Time,TEMPO
BarberShop_Upgrade_Info,Personalizar características faciais
Bonus_AddMaxHP,+{0}% de Saúde
Bonus_CheaperCrafting,-{0}% de Custo de Fabricação
Bonus_ChildMultiplier,{0}% de Chance de Gêmeos
Bonus_ChildSpecialBoost,+{0} nos S.P.E.C.I.A.L. da criança
Bonus_DamageBoost,+{0} de Dano
Bonus_FasterAndCheaperCrafting,-{0}% de Tempo e Custo de Fabricação
Bonus_FasterCrafting,-{0}% de Tempo de Fabricação
Bonus_FasterPregnancy,-{0}% de Tempo de Gravidez
Bonus_FasterWastelandReturnSpeed,x{0} de Velocidade de Retorno do Wasteland
Bonus_HappinessBoost,+{0}% de Felicidade
Bonus_HealingBoost,x{0} de Velocidade de Cura
Bonus_MysteriousMagnet,x{0} de Chance do Estranho
